Date,State,Disease,Disease_Count,Year,Month,Season
2023-04-26,Karnataka,Malaria,6,2023,4,Spring
2024-01-20,Karnataka,Headache,5,2024,1,Winter
2022-07-15,Karnataka,Malaria,14,2022,7,Summer
2018-10-05,Andhra Pradesh,Cold,15,2018,10,Autumn
2023-01-03,Karnataka,Cold,9,2023,1,Winter
2019-07-07,Karnataka,Cold,10,2019,7,Summer
2017-10-14,Telangana,Allergy,22,2017,10,Autumn
2024-01-26,Karnataka,Cough,9,2024,1,Winter
2022-04-19,Delhi,Allergy,15,2022,4,Spring
2021-07-24,Delhi,Cold,19,2021,7,Summer
2016-07-16,Delhi,Diarrhea,14,2016,7,Summer
2024-10-14,Telangana,Skin Rash,16,2024,10,Autumn
2024-04-19,Andhra Pradesh,Eye Infection,14,2024,4,Spring
2021-10-15,Andhra Pradesh,Eye Infection,22,2021,10,Autumn
2024-04-01,Karnataka,Eye Infection,11,2024,4,Spring
2023-04-04,Andhra Pradesh,Allergy,27,2023,4,Spring
2020-04-26,Delhi,Dengue,16,2020,4,Spring
2023-01-20,Delhi,Eye Infection,24,2023,1,Winter
2016-07-10,Karnataka,Skin Rash,17,2016,7,Summer
2019-07-26,Telangana,Dengue,23,2019,7,Summer
2022-04-22,Delhi,Fever,19,2022,4,Spring
2023-01-26,Telangana,Diarrhea,11,2023,1,Winter
2016-07-24,Delhi,Eye Infection,24,2016,7,Summer
2021-10-15,Karnataka,Cold,11,2021,10,Autumn
2021-01-16,Andhra Pradesh,Headache,33,2021,1,Winter
2021-04-03,Andhra Pradesh,Cough,24,2021,4,Spring
2016-10-03,Karnataka,Cough,14,2016,10,Autumn
2022-01-13,Andhra Pradesh,Malaria,33,2022,1,Winter
2024-07-26,Delhi,Allergy,28,2024,7,Summer
2022-04-22,Delhi,Skin Rash,12,2022,4,Spring
2020-07-21,Telangana,Diarrhea,12,2020,7,Summer
2018-07-16,Andhra Pradesh,Malaria,25,2018,7,Summer
2021-10-03,Andhra Pradesh,Eye Infection,20,2021,10,Autumn
2021-04-16,Andhra Pradesh,Cold,18,2021,4,Spring
2019-10-23,Andhra Pradesh,Headache,23,2019,10,Autumn
2017-07-08,Andhra Pradesh,Fever,23,2017,7,Summer
2024-04-03,Andhra Pradesh,Cold,15,2024,4,Spring
2023-01-09,Delhi,Headache,12,2023,1,Winter
2024-10-21,Delhi,Headache,11,2024,10,Autumn
2017-04-21,Karnataka,Diarrhea,4,2017,4,Spring
2021-01-03,Karnataka,Eye Infection,14,2021,1,Winter
2016-07-03,Andhra Pradesh,Malaria,23,2016,7,Summer
2023-04-15,Andhra Pradesh,Headache,22,2023,4,Spring
2021-04-23,Telangana,Diarrhea,12,2021,4,Spring
2017-01-16,Andhra Pradesh,Skin Rash,22,2017,1,Winter
2016-10-16,Delhi,Cold,18,2016,10,Autumn
2018-10-16,Karnataka,Eye Infection,11,2018,10,Autumn
2020-07-16,Delhi,Diarrhea,10,2020,7,Summer
2023-10-25,Andhra Pradesh,Fever,23,2023,10,Autumn
2022-01-25,Karnataka,Skin Rash,21,2022,1,Winter
2020-07-15,Andhra Pradesh,Diarrhea,13,2020,7,Summer
2022-07-25,Andhra Pradesh,Malaria,23,2022,7,Summer
2017-01-25,Karnataka,Fever,18,2017,1,Winter
2024-07-18,Delhi,Cold,15,2024,7,Summer
2017-01-09,Delhi,Eye Infection,27,2017,1,Winter
2019-07-05,Karnataka,Cold,11,2019,7,Summer
2023-07-17,Telangana,Diarrhea,12,2023,7,Summer
